id,name,category,subtype,rarity,level,image_url,wiki_url,obtain,dmg_clean,dmg_max,def_clean,def_max,upgradeable,crit,health_regen,stamina_regen,price_clean_oml,price_max_oml,price_source,price_category,last_updated,updated_at
1114,Clover Shield,Accessory,,Accessory,Common,40,,,,,FALSE,,,3%,Drop,https://static.wikia.nocookie.net/swordburst2/images/0/02/Clover_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Clover_Shield,,,,,2026-09-19T00:07:34Z
1115,Golem Shield,Accessory,,Accessory,Common,48,,,,,FALSE,,2%,3%,Drop,https://static.wikia.nocookie.net/swordburst2/images/c/c3/Golem_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Golem_Shield,,,,,2026-09-19T00:07:34Z
1116,Vel Coin Shield,Accessory,,Accessory,Rare,50,,,,,FALSE,,,4%,Gift,https://static.wikia.nocookie.net/swordburst2/images/4/42/Vel_Coin_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Vel_Coin_Shield,,,,,2026-09-19T00:07:34Z
1117,Wooden Bulwark Shield,Accessory,,Accessory,Rare,50,,,,,FALSE,,3%,3%,Drop,https://static.wikia.nocookie.net/swordburst2/images/d/d9/Wooden_Bulwark_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Wooden_Bulwark_Shield,,,,,2026-09-19T00:07:34Z
1118,Voided Embrace Shield,Accessory,,Accessory,Legendary,60,,,,,FALSE,,4%,3%,Drop,https://static.wikia.nocookie.net/swordburst2/images/2/2c/Voided_Embrace_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Voided_Embrace_Shield,,,,,2026-09-19T00:07:34Z
1119,Righteous Shield,Accessory,,Accessory,Rare,65,,,,,FALSE,,2%,2%,Drop,https://static.wikia.nocookie.net/swordburst2/images/5/54/Righteous_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Righteous_Shield,,,,,2026-09-19T00:07:34Z
1120,Holy Knight Shield,Accessory,,Accessory,Common,70,,,,,FALSE,,2%,2%,Drop,https://static.wikia.nocookie.net/swordburst2/images/b/bb/Holy_Knight_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Holy_Knight_Shield,,,,,2026-09-19T00:07:34Z
1121,Trident Shield,Accessory,,Accessory,Rare,75,,,,,FALSE,,2%,4%,Drop,https://static.wikia.nocookie.net/swordburst2/images/a/a2/Trident_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Trident_Shield,,,,,2026-09-19T00:07:34Z
1122,Ashrune Shield,Accessory,,Accessory,Rare,80,,,,,FALSE,,1%,2%,Drop,https://static.wikia.nocookie.net/swordburst2/images/c/c4/Ashrune_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Ashrune_Shield,,,,,2026-09-19T00:07:34Z
1123,Guardian Angel,Accessory,,Accessory,Tribute,80,,,,,FALSE,,15%,30%,Drop,https://static.wikia.nocookie.net/swordburst2/images/d/da/Guardian_Angel.png/revision/latest,https://swordburst2.fandom.com/wiki/Guardian_Angel,?,,tributes,Floor 8,2026-09-19T00:07:34Z
1124,Demon Shield,Accessory,,Accessory,Legendary,85,,,,,FALSE,,3%,3%,Drop,https://static.wikia.nocookie.net/swordburst2/images/e/e4/Demon_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Demon_Shield,0.5,,clean_legendaries,Floor 9,2026-09-19T00:07:34Z
1125,Fire Seeker Shield,Accessory,,Accessory,Legendary,85,,,,,FALSE,,5%,5%,Drop,https://static.wikia.nocookie.net/swordburst2/images/2/23/Fire_Seeker_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Fire_Seeker_Shield,,,,,2026-09-19T00:07:34Z
1126,Light Paladin Shield,Accessory,,Accessory,Common,88,,,,,FALSE,,,2%,"75,000",https://static.wikia.nocookie.net/swordburst2/images/a/a2/Light_Paladin_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Light_Paladin_Shield,,,,,2026-09-19T00:07:34Z
1127,Void Paladin Shield,Accessory,,Accessory,Common,88,,,,,FALSE,,1%,1%,"75,000",https://static.wikia.nocookie.net/swordburst2/images/3/3d/Void_Paladin_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Void_Paladin_Shield,,,,,2026-09-19T00:07:34Z
1128,Dark Paladin Shield,Accessory,,Accessory,Common,88,,,,,FALSE,,,,"75,000",https://static.wikia.nocookie.net/swordburst2/images/2/23/Dark_Paladin_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Dark_Paladin_Shield,,,,,2026-09-19T00:07:34Z
1129,Nightplate Shield,Accessory,,Accessory,Rare,96,,,,,FALSE,,2%,2%,Drop,https://static.wikia.nocookie.net/swordburst2/images/6/6c/Nightplate_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Nightplate_Shield,,,,,2026-09-19T00:07:34Z
1130,Liberator's Vengeance,Accessory,,Accessory,Legendary,100,,,,,FALSE,,3%,6%,Drop,https://static.wikia.nocookie.net/swordburst2/images/3/3c/Liberator%27s_Vengeance.png/revision/latest,https://swordburst2.fandom.com/wiki/Liberator%27s_Vengeance,0.5,,clean_legendaries,Floor 10,2026-09-19T00:07:34Z
1131,Volcanic Core,Accessory,,Accessory,Legendary,100,,,,,FALSE,,10%,10%,"170,000",https://static.wikia.nocookie.net/swordburst2/images/3/39/Volcanic_Core.png/revision/latest,https://swordburst2.fandom.com/wiki/Volcanic_Core,2-3,,clean_legendaries,Seventh Edition,2026-09-19T00:07:34Z
1132,Ruby Bulwark,Accessory,,Accessory,Rare,135,,,,,FALSE,,3%,5%,Drop,https://static.wikia.nocookie.net/swordburst2/images/9/94/Ruby_Bulwark.png/revision/latest,https://swordburst2.fandom.com/wiki/Ruby_Bulwark,,,,,2026-09-19T00:07:34Z
1133,Azured Bastion Shield,Accessory,,Accessory,Legendary,150,,,,,FALSE,,4%,4%,Drop,https://static.wikia.nocookie.net/swordburst2/images/2/25/Azured_Bastion_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Azured_Bastion_Shield,1-2,,clean_legendaries,Floor 11,2026-09-19T00:07:34Z
1134,Boomshock Shield,Accessory,,Accessory,Legendary,200,,,,,FALSE,,,5%,Drop,https://static.wikia.nocookie.net/swordburst2/images/4/4c/Boomshock_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Boomshock_Shield,1,,clean_legendaries,Floor 11,2026-09-19T00:07:34Z
1135,Boneplated Shield,Accessory,,Accessory,Common,160,,,,,FALSE,,2%,4%,Drop,https://static.wikia.nocookie.net/swordburst2/images/d/d7/Boneplated_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Boneplated_Shield,,,,,2026-09-19T00:07:34Z
1136,Hallow’s Shield,Accessory,,Accessory,Rare,180,,,,,FALSE,,2%,5%,Drop,https://static.wikia.nocookie.net/swordburst2/images/0/00/Hallow%E2%80%99s_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Hallow%E2%80%99s_Shield,,,,,2026-09-19T00:07:34Z
1137,Mecha Shield,Accessory,,Accessory,Rare,200,,,,,FALSE,,9%,9%,2.6M,https://static.wikia.nocookie.net/swordburst2/images/4/48/Mecha_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Mecha_Shield,0.3-0.5,0.3-0.5,misc,Fourth Edition,2026-09-19T00:07:34Z
1138,The Relic,Accessory,,Accessory,Common,200,,,,,FALSE,,3%,5%,Drop,https://static.wikia.nocookie.net/swordburst2/images/3/3a/The_Relic.png/revision/latest,https://swordburst2.fandom.com/wiki/The_Relic,,,,,2026-09-19T00:07:34Z
1139,Easterian Shield,Accessory,,Accessory,Legendary,200,,,,,FALSE,,2%,4%,Drop,https://static.wikia.nocookie.net/swordburst2/images/3/3b/Easterian_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Easterian_Shield,1-2,,clean_legendaries,Easter Realm (2023),2026-09-19T00:07:34Z
1140,Tombo,Accessory,,Accessory,Legendary,200,,,,,FALSE,,15%,7%,Drop,https://static.wikia.nocookie.net/swordburst2/images/6/65/Tombo.png/revision/latest,https://swordburst2.fandom.com/wiki/Tombo,1,,clean_legendaries,Easter Realm (2023),2026-09-19T00:07:34Z
1141,Nutcracker,Accessory,,Accessory,Legendary,200,,,,,FALSE,,10%,10%,Drop,https://static.wikia.nocookie.net/swordburst2/images/3/38/Nutcracker.png/revision/latest,https://swordburst2.fandom.com/wiki/Nutcracker,1,,clean_legendaries,Easter Realm (2023),2026-09-19T00:07:34Z
1142,Ars Seraph Shield,Accessory,,Accessory,Legendary,200,,,,,FALSE,,4%,4%,Gift,https://static.wikia.nocookie.net/swordburst2/images/2/29/Ars_Seraph_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Ars_Seraph_Shield,30-35,,clean_legendaries,Gift of Life,2026-09-19T00:07:34Z
1143,Spirit Shield,Accessory,,Accessory,Legendary,225,,,,,FALSE,,,6%,Drop,https://static.wikia.nocookie.net/swordburst2/images/e/e5/Spirit_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Spirit_Shield,2-3,,clean_legendaries,30-40 Prismatic Apex 2 Floria's Gift,2026-09-19T00:07:34Z
1144,Emerald Bulwark,Accessory,,Accessory,Rare,230,,,,,FALSE,,5%,2%,Drop,https://static.wikia.nocookie.net/swordburst2/images/8/8d/Emerald_Bulwark.png/revision/latest,https://swordburst2.fandom.com/wiki/Emerald_Bulwark,,,,,2026-09-19T00:07:34Z
1145,Astra Guidant,Accessory,,Accessory,Rare,250,,,,,FALSE,,4%,3%,Drop,https://static.wikia.nocookie.net/swordburst2/images/d/d2/Astra_Guidant.png/revision/latest,https://swordburst2.fandom.com/wiki/Astra_Guidant,,,,,2026-09-19T00:07:34Z
1146,Positive Shield,Accessory,,Accessory,Burst,250,,,,,FALSE,,20%,15%,Crafting,https://static.wikia.nocookie.net/swordburst2/images/8/8b/Positive_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Positive_Shield,,,,,2026-09-19T00:07:34Z
1147,Medusa,Accessory,,Accessory,Legendary,250,,,,,FALSE,,7%,15%,Drop,https://static.wikia.nocookie.net/swordburst2/images/c/c3/Medusa.png/revision/latest,https://swordburst2.fandom.com/wiki/Medusa,2-3,,clean_legendaries,Easter Realm (2023),2026-09-19T00:07:34Z
1148,Crucified Feather,Accessory,,Accessory,Legendary,200,,,,,FALSE,,15%,15%,70M,https://static.wikia.nocookie.net/swordburst2/images/3/35/Crucified_Feather.png/revision/latest,https://swordburst2.fandom.com/wiki/Crucified_Feather,4-5,,clean_legendaries,Fifteenth Edition,2026-09-19T00:07:34Z
1149,Chronolyx,Accessory,,Accessory,Legendary,275,,,,,FALSE,,8%,2%,Drop,https://static.wikia.nocookie.net/swordburst2/images/3/3e/Chronolyx.png/revision/latest,https://swordburst2.fandom.com/wiki/Chronolyx,3-4,,clean_legendaries,Floor 12,2026-09-19T00:07:34Z
1150,Verdant Shield,Accessory,,Accessory,Legendary,285,,,,,FALSE,,6%,6%,Drop,https://static.wikia.nocookie.net/swordburst2/images/d/d3/Verdant_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Verdant_Shield,1,,clean_legendaries,Floor 12,2026-09-19T00:07:34Z
1151,Apotheosis,Accessory,,Accessory,Burst,300,,,,,FALSE,,40%,40%,Crafting,https://static.wikia.nocookie.net/swordburst2/images/9/93/Apotheosis.png/revision/latest,https://swordburst2.fandom.com/wiki/Apotheosis,,,,,2026-09-19T00:07:34Z
1152,Butterfly Shield,Accessory,,Accessory,Tribute,300,,,,,FALSE,,25%,25%,57.5M,https://static.wikia.nocookie.net/swordburst2/images/7/7d/Butterfly_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Butterfly_Shield,5,,tributes,First Edition,2026-09-19T00:07:34Z
1153,Geryon,Accessory,,Accessory,Legendary,325,,,,,FALSE,,4%,6%,Drop,https://static.wikia.nocookie.net/swordburst2/images/f/f4/Geryon.png/revision/latest,https://swordburst2.fandom.com/wiki/Geryon,0.5,,clean_legendaries,Atheon's Realm,2026-09-19T00:07:34Z
1154,Svalinn,Accessory,,Accessory,Burst,350,,,,,FALSE,,35%,35%,Crafting,https://static.wikia.nocookie.net/swordburst2/images/a/a7/Svalinn.png/revision/latest,https://swordburst2.fandom.com/wiki/Svalinn,,,,,2026-09-19T00:07:34Z
1155,Ecliptic Void Shield,Accessory,,Accessory,Tribute,375,,,,,FALSE,,60%,18%,300M,https://static.wikia.nocookie.net/swordburst2/images/2/2d/Ecliptic_Void_Shield.png/revision/latest,https://swordburst2.fandom.com/wiki/Ecliptic_Void_Shield,10,,tributes,Seventh Edition,2026-09-19T00:07:34Z
1156,Chaos Bringer,Accessory,,Accessory,Tribute,400,,,,,FALSE,,25%,25%,Multiple Drops,https://static.wikia.nocookie.net/swordburst2/images/0/04/Chaos_Bringer.png/revision/latest,https://swordburst2.fandom.com/wiki/Chaos_Bringer,80-90,,tributes,- ROTATIONAL FLOOR TRIBUTES -,2026-09-19T00:07:34Z
1157,Corrupted Wings,Accessory,,Accessory,Tribute,400,,,,,FALSE,,35%,50%,Drop,https://static.wikia.nocookie.net/swordburst2/images/d/d2/Corrupted_Wings.png/revision/latest,https://swordburst2.fandom.com/wiki/Corrupted_Wings,Untradeable,,tributes,Atheon's Realm,2026-09-19T00:07:34Z
1158,Bunny Blessing,Accessory,,Accessory,Legendary,415,,,,,FALSE,,35%,35%,Drop,https://static.wikia.nocookie.net/swordburst2/images/5/53/Bunny_Blessing.png/revision/latest,https://swordburst2.fandom.com/wiki/Bunny_Blessing,2-3,,clean_legendaries,Egg Realm (2026),2026-09-19T00:07:34Z
1159,Ascendant Insignia,Accessory,,Accessory,Tribute,425,,,,,FALSE,,45%,45%,600M,https://static.wikia.nocookie.net/swordburst2/images/d/da/Ascendant_Insignia.png/revision/latest,https://swordburst2.fandom.com/wiki/Ascendant_Insignia,500+,,tributes,Fifteenth Edition,2026-09-19T00:07:34Z
1160,Toxic Dragon,Companion,,Companion,Common,,,,,,FALSE,,,,Burst Store 500,https://static.wikia.nocookie.net/swordburst2/images/0/08/Toxic_Dragon.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,8,,accessories,Dragon Pals,2026-09-19T00:07:34Z
1161,Frozen Dragon,Companion,,Companion,Rare,,,,,,FALSE,,,,Burst Store 500,https://static.wikia.nocookie.net/swordburst2/images/b/b2/Frozen_Dragon.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,10,,accessories,Dragon Pals,2026-09-19T00:07:34Z
1162,Crimson Dragon,Companion,,Companion,Rare,,,,,,FALSE,,,,Burst Store 500,https://static.wikia.nocookie.net/swordburst2/images/0/09/Crimson_Dragon.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,12-15,,accessories,Dragon Pals,2026-09-19T00:07:34Z
1163,Enchanted Dragon,Companion,,Companion,Rare,,,,,,FALSE,,,,Burst Store 500,https://static.wikia.nocookie.net/swordburst2/images/b/ba/Enchanted_Dragon.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,20-24,,accessories,Dragon Pals,2026-09-19T00:07:34Z
1164,Divine Dragon,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 500,https://static.wikia.nocookie.net/swordburst2/images/6/67/Divine_Dragon.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,50-60,,accessories,Dragon Pals,2026-09-19T00:07:34Z
1165,Void Dragon,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 500,https://static.wikia.nocookie.net/swordburst2/images/f/fb/Void_Dragon.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,60-70,,accessories,Dragon Pals,2026-09-19T00:07:34Z
1166,Heartstruck Bear,Companion,,Companion,Tribute,,,,,,FALSE,,,,Drop,https://static.wikia.nocookie.net/swordburst2/images/6/6e/Heartstruck_Bear.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1167,Hellfire Pumpkin,Companion,,Companion,Tribute,,,,,,FALSE,,,,Crafting,https://static.wikia.nocookie.net/swordburst2/images/d/d2/Hellfire_Pumpkin.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,750-800,,tributes,- EVENT FLOOR TRIBUTES -,2026-09-19T00:07:34Z
1168,Chocolate Bunny,Companion,,Companion,Common,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/d/d4/Chocolate_Bunny.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,6-8,,accessories,Bunny Pals,2026-09-19T00:07:34Z
1169,Snowy Bunny,Companion,,Companion,Rare,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/c/c2/Snowy_Bunny.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,15,,accessories,Bunny Pals,2026-09-19T00:07:34Z
1170,Volcanic Bunny,Companion,,Companion,Rare,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/9/9b/Volcanic_Bunny.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,10,,accessories,Bunny Pals,2026-09-19T00:07:34Z
1171,Phantom Bunny,Companion,,Companion,Rare,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/c/c2/Phantom_Bunny.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,20,,accessories,Bunny Pals,2026-09-19T00:07:34Z
1172,Lovely Bunny,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/8/8b/Lovely_Bunny.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,25,,accessories,Bunny Pals,2026-09-19T00:07:34Z
1173,Godly Bunny,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/0/0b/Godly_Bunny.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,60-70,,accessories,Bunny Pals,2026-09-19T00:07:34Z
1174,Axio Plushie,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/e/e2/Axio_PLUSHIE.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1175,BGM Plushie,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/7/7f/BGM_PLUSHIE.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1176,Yato Plushie,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/9/98/Yato_PLUSHIE.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1177,Vieny Plushie,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/0/05/Vieny_PLUSHIE.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1178,Lone Plushie,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/a/a7/Lone_PLUSHIE.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1179,Reizo Plushie,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/3/37/Reizo_PLUSHIE.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1180,Lebond Plushie,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/0/09/Lebond_PLUSHIE.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1181,Gray Fish,Companion,,Companion,Common,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/c/c9/Gray_Fish.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,5-6,,accessories,Fish Pals,2026-09-19T00:07:34Z
1182,Blue Fish,Companion,,Companion,Common,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/7/7c/Blue_Fish.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,10-15,,accessories,Fish Pals,2026-09-19T00:07:34Z
1183,Yellow Fish,Companion,,Companion,Common,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/1/14/Yellow_Fish.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,10,,accessories,Fish Pals,2026-09-19T00:07:34Z
1184,Lovely Fish,Companion,,Companion,Rare,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/8/89/Lovely_Fish.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,25-30,,accessories,Fish Pals,2026-09-19T00:07:34Z
1185,Deep Sea Fish,Companion,,Companion,Rare,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/d/da/Deep_Sea_Fish.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,15,,accessories,Fish Pals,2026-09-19T00:07:34Z
1186,Crimson Fish,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/7/7c/Crimson_Fish.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,30-35,,accessories,Fish Pals,2026-09-19T00:07:34Z
1187,Rainbow Fish,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/3/37/Rainbow_Fish.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,800,,accessories,Fish Pals,2026-09-19T00:07:34Z
1188,Nature Kitsune,Companion,,Companion,Common,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/1/17/Nature_Kitsune.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1189,Lightning Kitsune,Companion,,Companion,Rare,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/d/d9/Lightning_Kitsune.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1190,Sakura Kitsune,Companion,,Companion,Rare,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/b/b7/Sakura_Kitsune.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1191,Light Kitsune,Companion,,Companion,Rare,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/a/ae/Light_Kitsune.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1192,Snow Kitsune,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/f/f0/Snow_Kitsune.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1193,Crimson Kitsune,Companion,,Companion,Legendary,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/6/66/Crimson_Kitsune.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1194,THING,Companion,,Companion,Tribute,,,,,,FALSE,,,,Burst Store 600,https://static.wikia.nocookie.net/swordburst2/images/1/1b/THING.png/revision/latest,https://swordburst2.fandom.com/wiki/Companions,,,,,2026-09-19T00:07:34Z
1195,Mini Atheon,Companion,,Companion,Tribute,,,,,,FALSE,,,,Drop,https://static.wikia.nocookie.net/swordburst2/images/1/16/Mini_Atheon.png/revision/latest,https://swordburst2.fandom.com/wiki/Mini_Atheon,25-30,,tributes,Atheon's Realm,2026-09-19T00:07:34Z
1196,Glorp,Companion,,Companion,Tribute,,,,,,FALSE,,,,"Joining BGM's server on August 5, 2026",https://static.wikia.nocookie.net/swordburst2/images/c/c9/Glorp.png/revision/latest,https://swordburst2.fandom.com/wiki/Glorp,,,,,2026-09-19T00:07:34Z
1197,Confusion Aura,Aura,Aura,Aura,Rare,,,,,,FALSE,,,,,https://static.wikia.nocookie.net/swordburst2/images/1/1f/Confusion_Aura.png,https://swordburst2.fandom.com/wiki/Confusion_Aura,,,,,2026-09-19T00:07:34Z
1198,Digital Aura,Aura,Aura,Aura,Rare,,,,,,FALSE,,,,,https://static.wikia.nocookie.net/swordburst2/images/e/ec/Digital_Aura.png,https://swordburst2.fandom.com/wiki/Digital_Aura,,,,,2026-09-19T00:07:34Z
1199,Pulse Aura,Aura,Aura,Aura,Uncommon,,,,,,FALSE,,,,,https://static.wikia.nocookie.net/swordburst2/images/9/92/Pulse_Aura.png,https://swordburst2.fandom.com/wiki/Pulse_Aura,,,,,2026-09-19T00:07:34Z
1200,Recon Aura,Aura,Aura,Aura,Rare,,,,,,FALSE,,,,,https://static.wikia.nocookie.net/swordburst2/images/8/86/Recon_Aura.png,https://swordburst2.fandom.com/wiki/Recon_Aura,,,,,2026-09-19T00:07:34Z
1201,Scratches Aura,Aura,Aura,Aura,Legendary,,,,,,FALSE,,,,,https://static.wikia.nocookie.net/swordburst2/images/6/65/Scratches_Aura.png,https://swordburst2.fandom.com/wiki/Scratches_Aura,,,,,2026-09-19T00:07:34Z
1202,Twinkle Aura,Aura,Aura,Aura,Legendary,,,,,,FALSE,,,,,https://static.wikia.nocookie.net/swordburst2/images/5/5b/Twinkle_Aura.png,https://swordburst2.fandom.com/wiki/Twinkle_Aura,,,,,2026-09-19T00:07:34Z
1203,Banana Aura,Aura,Aura,Aura,Legendary,,,,,,FALSE,,,,,https://static.wikia.nocookie.net/swordburst2/images/b/bb/Banana_Aura.png,https://swordburst2.fandom.com/wiki/Banana_Aura,,,,,2026-09-19T00:07:34Z
1204,Coconut Aura,Aura,Aura,Aura,Common,,,,,,FALSE,,,,,https://static.wikia.nocookie.net/swordburst2/images/2/25/Coconut_Aura.png,https://swordburst2.fandom.com/wiki/Coconut_Aura,,,,,2026-09-19T00:07:34Z
1205,DragonFruit Aura,Aura,Aura,Aura,Rare,,,,,,FALSE,,,,,https://static.wikia.nocookie.net/swordburst2/images/5/50/DragonFruit_Aura.png,https://swordburst2.fandom.com/wiki/DragonFruit_Aura,,,,,2026-09-19T00:07:34Z
1206,Mango Aura,Aura,Aura,Aura,Common,,,,,,FALSE,,,,,https://static.wikia.nocookie.net/swordburst2/images/a/ab/Mango_Aura.png,https://swordburst2.fandom.com/wiki/Mango_Aura,,,,,2026-09-19T00:07:34Z
1207,Strawberry Aura,Aura,Aura,Aura,Rare,,,,,,FALSE,,,,,https://static.wikia.nocookie.net/swordburst2/images/5/5f/Strawberry_Aura.png,https://swordburst2.fandom.com/wiki/Strawberry_Aura,,,,,2026-09-19T00:07:34Z
1208,Watermelon Aura,Aura,Aura,Aura,Legendary,,,,,,FALSE,,,,,https://static.wikia.nocookie.net/swordburst2/images/b/b6/Watermelon_Aura.png,https://swordburst2.fandom.com/wiki/Watermelon_Aura,,,,,2026-09-19T00:07:34Z
1209,Celestial Genesis aura,Aura,Aura,Aura,Rare,,,,,,FALSE,,,,,https://static.wikia.nocookie.net/swordburst2/images/8/8d/Celestial_genesis_aura.webp,https://swordburst2.fandom.com/wiki/Celestial_Genesis_aura,20,,auras,Gracious Domain 3 Serenity Realm 3-4,2026-09-19T00:07:34Z
